rank,product_id,product_name,customer_segment,stage,annualized_profit,arr,gross_margin_rate,sales_pipeline,revenue_lift_backlog,launch_cost_backlog,churn_risk,readiness_score,voc_revenue_at_risk,priority_score,decision_lane,recommended_next_step
1,HPA-006,Eligibility verification automation,Provider,Scale,18447641.37,36785018.14,0.732,12998262.13,3695081.94,1075962.03,0.124,64,126600.39,230.4,Invest,Move to expansion business case with Marketing and Product
2,HPA-005,Revenue cycle denials intelligence,Provider,Scale,15234543.87,35903364.61,0.601,8524644.58,3313193.49,1376168.99,0.14,53,195630.89,165.7,Invest,Move to expansion business case with Marketing and Product
3,HPA-008,Provider performance benchmarks,Provider,Expand,4609334.42,14058875.52,0.655,6943016.98,2100626.99,366385.32,0.118,66,620238.66,150.0,Invest,Move to expansion business case with Marketing and Product
4,HPA-001,Risk adjustment gap closure,Payer,Scale,10999792.7,21801567.02,0.711,6406025.46,2542335.07,738997.67,0.148,67,560766.07,147.6,Invest,Move to expansion business case with Marketing and Product
5,HPA-013,Real-world evidence cohorts,Life sciences,Scale,6405055.27,19926982.78,0.704,9018742.17,12551160.47,3316198.39,0.155,46,320419.23,144.3,Invest,Move to expansion business case with Marketing and Product
6,HPA-002,Quality and Stars measurement,Payer,Scale,2493449.57,23224629.08,0.598,4817692.04,5333558.27,1095985.49,0.151,77,483235.57,119.9,Invest,Move to expansion business case with Marketing and Product
7,HPA-009,Specialty pharmacy adherence,Pharmacy,Scale,-5242994.75,11564370.21,0.625,4700793.68,462269.5,86493.18,0.162,59,420962.07,83.0,Fix economics,"Review support cost, launch cost, and pricing assumptions"
8,HPA-010,Pharmacy claims reconciliation,Pharmacy,Expand,702862.41,6383406.22,0.644,1349778.93,3621844.69,741759.16,0.148,70,255168.63,82.4,Invest,Move to expansion business case with Marketing and Product
9,HPA-003,Interoperability member 360,Payer,Expand,398487.64,11078740.27,0.54,4067418.51,2121587.91,837455.76,0.2,61,0,72.4,Validate,Run customer discovery and data quality review before build
10,HPA-015,Commercial analytics segmentation,Life sciences,Pilot,-80841.17,4327167.07,0.5,2073921.64,2934904.2,807787.99,0.199,70,554779.93,69.9,Fix economics,"Review support cost, launch cost, and pricing assumptions"
11,HPA-007,Medical record review AI,Provider,Pilot,126690.4,5906879.38,0.501,1228567.46,9781406.29,2477557.27,0.186,71,316308.71,67.2,Monitor,Keep in monthly product performance review
12,HPA-004,Value-based contract analytics,Payer,Pilot,-1056415.63,5170731.92,0.461,1142140.19,3141578.05,887335.26,0.182,74,615521.98,60.6,Fix economics,"Review support cost, launch cost, and pricing assumptions"
13,HPA-014,Clinical trial feasibility,Life sciences,Expand,-1980917.36,10081632.07,0.685,2163423.43,889858.48,293501.18,0.117,68,391603.85,60.1,Fix economics,"Review support cost, launch cost, and pricing assumptions"
14,HPA-016,Healthcare data lineage hub,Platform,Expand,-659405.53,4428973.47,0.632,1302517.73,6144071.83,2107945.21,0.176,62,649852.58,51.4,Fix economics,"Review support cost, launch cost, and pricing assumptions"
15,HPA-011,Medication therapy management,Pharmacy,Pilot,-2793929.23,2976385.18,0.593,876339.51,3925347.8,1038929.91,0.123,59,491536.33,49.3,Fix economics,"Review support cost, launch cost, and pricing assumptions"
16,HPA-012,Prior authorization analytics,Pharmacy,Discover,-706578.37,1154374.97,0.464,240095.65,774416.4,327292.16,0.235,65,611928.65,35.1,Fix economics,"Review support cost, launch cost, and pricing assumptions"
