entity_id,entity_name,segment,owner
PRO001,Product opportunity 1,Core,Product
PRO002,Product opportunity 2,Core,Customer
PRO003,Product opportunity 3,Watch,Analytics
PRO004,Product opportunity 4,Core,Product
PRO005,Product opportunity 5,Strategic,Product
PRO006,Product opportunity 6,Strategic,Customer
PRO007,Product opportunity 7,Core,Operations
PRO008,Product opportunity 8,Watch,Customer
PRO009,Product opportunity 9,Strategic,Operations
PRO010,Product opportunity 10,Growth,Customer
PRO011,Product opportunity 11,Strategic,Product
PRO012,Product opportunity 12,Growth,Operations
PRO013,Product opportunity 13,Strategic,Analytics
PRO014,Product opportunity 14,Growth,Analytics
PRO015,Product opportunity 15,Strategic,Operations
PRO016,Product opportunity 16,Growth,Product
PRO017,Product opportunity 17,Strategic,Revenue
PRO018,Product opportunity 18,Strategic,Revenue
PRO019,Product opportunity 19,Strategic,Operations
PRO020,Product opportunity 20,Watch,Customer
PRO021,Product opportunity 21,Watch,Product
PRO022,Product opportunity 22,Strategic,Customer
PRO023,Product opportunity 23,Growth,Operations
PRO024,Product opportunity 24,Watch,Analytics
PRO025,Product opportunity 25,Core,Operations
PRO026,Product opportunity 26,Strategic,Product
PRO027,Product opportunity 27,Growth,Revenue
PRO028,Product opportunity 28,Core,Analytics
PRO029,Product opportunity 29,Growth,Product
PRO030,Product opportunity 30,Core,Analytics
PRO031,Product opportunity 31,Growth,Customer
PRO032,Product opportunity 32,Strategic,Customer
PRO033,Product opportunity 33,Core,Customer
PRO034,Product opportunity 34,Growth,Customer
PRO035,Product opportunity 35,Core,Revenue
PRO036,Product opportunity 36,Strategic,Revenue
